ID_Alkalinity,ID_Coral,Chamber,Species,Date,Time,Metabolism,Temperature,At,delta_At,delta_T,delta_At_per_h,Vol_chamber,Vol_coral,Vol_water,delta_At_per_h_per_V,Final_delta_At_Std,Convert_Calcification,Surface_Area,Calcif_mol_cm2_h,Calcif_mmol_m2_day,Calcif_g_cm2_yr,Calcif_kg_m2_yr,Flow,Species_Flow
Metabo_coral_445,Coral_117,Big_T1_01,Phymmastrea_curta,2018-10-03,09:34:00,Day,26.7,2354.0731875931,-128.9866546164,2.0666666667,-62.412897395,3.539,0.42,3.119,-199.5324726495,-192.1114148449,96.0557074225,258.2528787591,0.3719443821,89.2666517104,0.3261064192,3.2610641917,Low,Phymmastrea_curta_Low
Metabo_coral_446,Coral_118,Big_T1_02,Phymmastrea_curta,2018-10-03,09:34:00,Day,26.7,2409.2825580146,-73.777284195,2.0666666667,-35.6986859008,3.539,0.22,3.319,-121.4460369674,-114.0249791628,57.0124895814,170.4872519933,0.3344091063,80.2581855215,0.2931969441,2.9319694408,Low,Phymmastrea_curta_Low
Metabo_coral_447,Coral_119,Big_T1_03,Phymmastrea_curta,2018-10-03,09:35:00,Day,26.7,2396.9134713198,-86.1463708897,2.0833333333,-41.3502580271,3.539,0.21,3.329,-141.0963841964,-133.6753263918,66.8376631959,243.284935094,0.2747299711,65.9351930723,0.2408725913,2.4087259126,Low,Phymmastrea_curta_Low
Metabo_coral_448,Coral_120,Big_T1_04,Phymmastrea_curta,2018-10-03,09:35:00,Day,26.7,2219.3208573482,-263.7389848614,2.0833333333,-126.5947127335,3.539,0.41,3.129,-406.0177275466,-398.596669742,199.298334871,273.6676267127,0.7282495824,174.7798997769,0.6385010098,6.3850100981,Low,Phymmastrea_curta_Low
Metabo_coral_491,Coral_125,Medium_T1_01,Phymmastrea_curta,2018-10-03,14:47:00,Day,27.7,2364.9390256972,-87.3089218875,2.3833333333,-36.6331140787,1.138,0.023,1.115,-41.8670702527,-38.6774503569,19.3387251785,31.5031929985,0.6138655589,147.327734146,0.5382135311,5.3821353111,High,Phymmastrea_curta_High
Metabo_coral_492,Coral_126,Medium_T1_02,Phymmastrea_curta,2018-10-03,14:48:00,Day,27.7,2351.0222101778,-101.2257374069,2.4,-42.1773905862,1.138,0.022,1.116,-48.2467170916,-45.0570971959,22.5285485979,34.9065850399,0.6453953766,154.894890386,0.5658576533,5.6585765327,High,Phymmastrea_curta_High
Metabo_coral_493,Coral_127,Medium_T1_03,Phymmastrea_curta,2018-10-03,14:49:00,Day,27.7,2336.4179045336,-115.8300430511,2.4166666667,-47.9296729866,1.138,0.028,1.11,-54.5319854406,-51.3423655448,25.6711827724,27.0316594549,0.9496709891,227.9210373918,0.8326347178,8.3263471782,High,Phymmastrea_curta_High
Metabo_coral_494,Coral_128,Medium_T1_04,Phymmastrea_curta,2018-10-03,14:50:00,Day,27.9,2314.532008225,-137.7159393596,2.4333333333,-56.5955915177,1.138,0.024,1.114,-64.6236761744,-61.4340562787,30.7170281394,35.6082073992,0.862638992,207.0333580908,0.7563284358,7.5632843579,High,Phymmastrea_curta_High
Metabo_coral_495,Coral_129,Big_T1_01,Phymmastrea_curta,2018-10-03,14:50:00,Day,27.9,2346.7374780554,-104.3778455127,2.4333333333,-42.8950050052,3.539,0.11,3.429,-150.764146467,-147.5745265713,73.7872632856,128.679635091,0.5734183442,137.620402607,0.5027509808,5.0275098079,Low,Phymmastrea_curta_Low
Metabo_coral_496,Coral_130,Big_T1_02,Phymmastrea_curta,2018-10-03,14:51:00,Day,27.9,2348.4411320773,-102.6741914909,2.45,-41.9078332616,3.539,0.8,2.739,-117.655194186,-114.4655742903,57.2327871452,96.1885857359,0.5950060156,142.8014437446,0.5216782144,5.2167821443,Low,Phymmastrea_curta_Low
