OTUID,Phylum,INDO12S1A,INDO12S1B,INDO12S1C,INDO12S2A,INDO12S2B,INDO12S2C,INDO13S1A,INDO13S1B,INDO13S1C
BAA01B500M5_0_ID241722,Annelida,0.000324713,0,0,0.008662743,0.004565182,0.004447762,0.000124782,1.60E-05,0.000266245
CE01100M4_0_ID83225,Rhodophyta,0.001348578,0.001650146,0.001529246,0.000709124,0.000740656,0.001219688,0.00231311,0.000359699,0.000249523
BAO01B100M4_0_ID78812,Rhodophyta,0.000918362,0.000362276,0.000472334,0.000820809,0.000829306,0.005453057,0.00013331,0.003363506,0.000316209
CE01100M1_0_ID100380,Unidentified,0.000167424,0.002292082,0.001570513,8.24E-05,0.000988277,0.000780225,0.003832932,0.003410619,0.000741808
IND07100M1_0_ID16167,Arthropoda,0,0,0.000136728,0,0,0.00023398,0.007309844,0.002946527,0.000103255
CE01BSM1_0_ID157734,Unidentified,0.000899041,0.000662382,0.006583043,0.000464407,0,0.000210098,5.35E-05,0.012438647,0.000595956
ART01A100M5_0_ID100409,Annelida,0.002852886,0.000280068,0.001985013,0.000722977,0.001657195,0.00220763,0.000462398,0.004612766,0.00231796
CE01100M1_0_ID100740,Unidentified,0.000168894,0.0006042,0.002746678,0.003919914,0.001545398,0.000400045,0.003669321,0.000611934,0.001689081
CE02100M2_0_ID170675,Annelida,0.001549893,0.00254592,0.00036408,0.002115594,0.003917207,0.002262181,0.001458503,0.001832183,0.000194572
BAO01B100M4_0_ID90112,Unidentified,5.95E-05,0.000490819,0.001481547,0.000721132,0.000379934,0.00114085,0.004610816,0.001382259,0.001639668
ART01BBSM6_0_ID117507,Ochrophyta,0.000220974,0.000154396,0.000669358,0.001314269,0.001578947,0.005306634,4.77E-05,0.002334135,2.50E-05
ART02ABSM2_0_ID17845,Bryozoa,0.003474805,0.001548031,0.000764332,0.000952096,0.000135009,0.000170064,0.001133888,0.00059674,0.000362747
ART01B100M7_0_ID123240,Cnidaria,0.004643126,0.001525042,0.000226975,0.000445302,0.000436956,0.000916662,0.000717904,0.000251972,0.000574671
ART01A100M5_0_ID115405,Cnidaria,0.000742227,0.000971481,0.000495452,0.000206174,0.000277212,0.000310225,0.003532911,0.002910434,0.001312923
ART01A100M5_0_ID100793,Cnidaria,0.001013466,7.28E-06,0.004370677,0.000379493,0,0.005764036,4.16E-05,0.000207852,3.58E-05
CE02500M1_0_ID100459,Unidentified,0.019652154,0.018388945,0,0,0,0,0,0,0
CE03500M1_0_ID101728,Chordata,0,0.012426488,0,0,0.021209984,6.83E-06,1.87E-05,0,7.87E-06
CE01100M1_0_ID109720,Chordata,0,5.97E-06,0.015872659,1.80E-05,1.60E-05,0,0,0,1.44E-05
CE02BSM3_0_ID149537,Cnidaria,0.000386389,0.000454904,0.002204709,0.000489688,0.0010822,0.003055175,0.001479601,0.000418879,0.001374669
BAO01BBSM2_0_ID74461,Porifera,0.003773346,0,0.000354893,0,0,0.000210308,1.13E-05,6.90E-06,0.002844426
CE01100M1_0_ID117016,Unidentified,0.001014627,0.002498627,0.001600412,0.000621445,0.000404113,0.000421796,0.00341653,0.000183964,0.000855133
ART01B100M7_0_ID99441,Cnidaria,0.000906986,0.000345209,0.001901901,0.000410265,0.000789376,0.002933635,0.001369315,0.000325162,0.001238604
IND05BSM1_0_ID99008,Unidentified,0,0,0.000328959,0,4.97E-06,0.002595993,0.001893527,0.007281861,0.000554876
ART01BBSM3_0_ID36255,Annelida,0,0.000208635,0,3.29E-05,0,7.77E-06,0,0.008350413,0.005423076
CE02BSM3_0_ID106374,Porifera,0.003196158,0,0.000355658,0,0,0.000283252,2.35E-05,6.90E-06,0.003983345
ART01B500M4_0_ID34025,Cnidaria,7.33E-07,0.00061886,0.002892916,0.001385023,9.93E-06,0.003771055,0.001634392,0.000365586,0.000236598
ART01A100M5_0_ID115811,Unidentified,0.001369364,0.001166628,0.000663862,0.001011744,0.002733864,0.001176832,0.002470564,0.001072824,0.00109805
ART01B100M7_0_ID190285,Cnidaria,7.37E-05,0.001593479,0.001079648,0.000609543,0.000902624,0.003373494,0.003274748,0.000228198,0.0019416
IND06500M1_0_ID10517,Arthropoda,0,0,0.013166854,0,0,0.000854641,0,0,0
CE01100M1_0_ID39153,Annelida,0.001406181,0.002054892,0.000463727,0.001306003,0.001902384,0.001333582,0.00184438,0.001513824,0.000162129
ART02B100M5_0_ID101368,Unidentified,1.47E-06,0.000394512,0.000327464,0.001776292,0.000120999,0.003904304,0.000555068,6.21E-05,0.001722209
ART02ABSM2_0_ID168120,Cnidaria,0.00140682,0.003642088,0.004637851,0.003646602,0.001889428,0.000421187,9.00E-06,5.33E-06,0
CE01500M1_0_ID10319,Unidentified,0.000176171,0.004890343,0.00100342,4.87E-05,7.71E-05,0,0,0.014250789,0
CE01100M3_0_ID98383,Bryozoa,0.00017483,0.009318132,0.001746763,0.005002449,0.00480512,6.37E-05,1.71E-06,2.94E-05,1.54E-06
ART01A100M5_0_ID150179,Annelida,0.000995052,0.00057601,0.000535251,0.000427759,0.009478844,0.003190575,0.000198776,0.000823184,5.73E-05
BAO01BBSM6_0_ID385380,Unidentified,0.000392613,0.001709538,1.90E-05,0.000149583,1.79E-05,0.000114602,0.000283596,8.98E-05,0.00572276
ART02A100M5_0_ID110312,Porifera,7.33E-07,0,1.58E-05,0,0,0.006554219,0,0,0
ART01B500M3_0_ID88159,Mollusca,0.000109063,0.000300086,3.88E-05,6.93E-06,0.000679732,1.65E-05,3.26E-06,1.57E-05,0.007294309
ART01BBSM3_0_ID108535,Rhodophyta,0.001418508,0.000316989,6.34E-05,0.002291424,0.007977706,0.000824543,0.000367294,2.76E-05,0.000172888
ART01A100M5_0_ID62284,Arthropoda,6.07E-06,0,0,0.015558336,0.008132316,0,4.05E-05,5.33E-06,0
ART01B100M7_0_ID105915,Unidentified,0.001195659,0.000823007,0.00122665,0.001064853,0.000715969,0.002024708,0.000343534,0.003367339,0.000937781
BAO01BBSM6_0_ID114874,Mollusca,0,0,0,1.95E-05,0,0,3.26E-06,0.017112095,0
CE01100M1_0_ID12562,Unidentified,4.30E-05,0.001242537,0.000121773,0.001128562,0.000225162,0.0009837,0.003338447,0.000778649,0.000570292
CE02100M2_0_ID157094,Unidentified,0.003701635,1.46E-05,0.000121939,0.00014525,0.00017416,0.000455725,4.39E-05,0.000414319,4.86E-05
ART02B500M5_0_ID83263,Unidentified,0.000351748,6.12E-05,1.03E-05,0,1.20E-05,0,0.004475574,0.00513406,2.41E-05
BAA01ABSM6_0_ID220609,Mollusca,0.000757867,0.00267056,0,5.90E-05,0.000440214,0.005451578,4.54E-05,1.95E-05,0.000199268
CE01100M1_0_ID102290,Unidentified,0.006489134,4.77E-05,0.00097874,0.003270629,0.001226989,0.002503988,0.000328972,0.00039497,0.000546443
CE02100M2_0_ID107508,Unidentified,0.004892923,3.04E-05,0.001046832,0,3.20E-05,1.42E-05,0.00047586,0,2.16E-05
ART02BBSM2_0_ID149691,Porifera,0.002900549,1.44E-05,0.000412694,1.18E-05,6.94E-05,7.79E-05,5.67E-06,1.73E-05,0.000686617
ART01A100M5_0_ID10296,Porifera,0.000130872,2.07E-05,0.001813212,0.000154555,4.00E-06,0.001187178,0.001212458,0.000979781,0.001808735
BAO01B100M5_0_ID89805,Cnidaria,0,0.000108078,0,0,0,0.003882146,0,6.90E-06,0.002945103
BAA01ABSM6_0_ID522883,Porifera,0.000238437,3.08E-05,1.18E-05,2.99E-05,2.11E-05,0.00026757,0.003399608,3.43E-06,0
ART01A500M5_0_ID177025,Annelida,0.00057872,0.00255415,0.000133558,0.000342931,0.008766479,0.000201216,8.92E-05,3.64E-05,0.002172096
CE01500M1_0_ID100004,Unidentified,0.008656667,0.019083631,0,1.81E-05,8.97E-06,0,0,0,0
ART02CBSM6_0_ID190362,Unidentified,8.61E-05,0.002346971,3.32E-05,0.000814794,0.003972146,0.001143828,0.00058599,0.005370151,0.000530972
CE01BSM1_0_ID77802,Rhodophyta,0.002350977,0.000304737,0.00691597,0.000117715,0.000215214,0.000300599,7.86E-05,0.001971484,8.63E-05
CE01100M1_0_ID118365,Mollusca,5.12E-05,0.000428785,0.000117845,1.20E-05,0.000716201,0.000257673,0.001265557,0.001034846,0.002660534
ART01A500M5_0_ID25007,Unidentified,0.000113192,1.49E-06,3.93E-06,0.013127816,0,3.71E-05,1.48E-05,4.42E-05,3.93E-06
ART01A100M5_0_ID103290,Arthropoda,0.002511727,0.000454735,0.000124965,0.000134678,0.00016432,0.001513796,0.001685143,0.000124,0.001228582
ART01A100M5_0_ID78757,Arthropoda,7.33E-07,0,0,0,4.00E-06,0.007276264,0,3.47E-06,9.14E-05
ART02CBSM6_0_ID236311,Porifera,0.000499579,0.010263466,6.33E-06,0,8.33E-05,0.000466299,0.003362371,0.000473351,0.000380008
ART02CBSM6_0_ID220428,Bryozoa,3.31E-05,2.59E-05,6.60E-05,3.15E-05,2.93E-05,3.07E-05,0.003365616,0,1.29E-05
