OTUID,Phylum,INDO18S12S1A,INDO18S12S1B,INDO18S12S1C,INDO18S12S2A,INDO18S12S2B,INDO18S12S2C,INDO18S13S1A,INDO18S13S1B,INDO18S13S1C
OTU_990,Chordata,0,0,2.95E-06,2.11E-06,0.005727389,0,0,0.002113569,0
OTU_4680,Annelida,0.000491652,0.000520946,0.001001187,0.005663316,0.00413455,0.000660075,5.70E-05,0.00164965,0.001885144
OTU_194213,Rhodophyta,0.001105777,0.001414961,0.000747745,0.000633599,0.000559324,0.000662895,0.00507425,0.005129654,0.000197154
OTU_4714,Chordata,9.10E-05,2.77E-05,0.00054385,2.67E-05,5.80E-06,0.000432071,0.00023371,5.60E-05,0.009425144
OTU_459,Arthropoda,0.003937466,0.001766494,0.000844511,0.000827863,0.001766688,0.000762869,0.000743507,0.000274027,0.001177571
OTU_567,Arthropoda,0.000608771,0.000752848,0.000274457,0.001228119,0.00389186,0.001552463,0.004421165,0.000784097,0.001182625
OTU_354,Mollusca,6.77E-05,0.000247649,0.000446062,0.00954674,0.00010719,0.000393053,0.000105389,5.97E-05,0.000432473
OTU_108,Bryozoa,0.001641062,0.003075171,0.000235014,0.000536897,0.00096597,0.000792173,0.004292212,0.00028431,0.000436426
OTU_1779,Chordata,8.75E-05,0.000965974,0.000308335,2.65E-06,0,0.001275239,0.004702865,0.00130097,0.00377285
OTU_540,Annelida,0.001091875,0.000178675,0.006737072,7.58E-05,0.002294321,3.82E-05,3.97E-06,0.000453094,7.01E-05
OTU_889844,Chordata,0.01289827,0.003608999,0,2.36E-06,0,0,0,0,0
OTU_554,Arthropoda,0.002280856,3.42E-05,0,0.006873552,0.003799482,0,0.000756585,4.82E-05,2.60E-05
OTU_283,Annelida,0.000285413,0.000224622,0.000471601,0.008441183,0.000850162,0.000177705,0.002101795,0.000101873,0.001694621
OTU_528,Bryozoa,0.005699605,0.000141111,0.000187319,1.82E-05,0.000103442,0.000501078,0.00035109,0.001846077,0.001596411
OTU_305,Arthropoda,0.003747576,0.000661141,0.000257103,0.002065158,0.002534909,0.000711401,0.000158986,2.63E-05,0.000168824
OTU_259,Arthropoda,0.002541792,0.001130696,0.000246147,0.000481887,0.000473614,0.001443053,0.001549265,0.000945673,0.001528883
OTU_621,Arthropoda,0.001164914,0.000674449,0.001301485,0.001393638,0.003058668,0.005793097,0,0,0.000106133
OTU_16,Chordata,3.12E-06,1.33E-05,2.23E-05,0.009258288,0,0,2.74E-06,5.43E-06,0.000805001
OTU_541,Arthropoda,3.02E-05,0.000206125,0.000355999,0.01033438,0,0,8.87E-06,9.09E-05,7.97E-05
OTU_310,Annelida,0.002135996,0.002308777,0.000575877,0.001784571,0.001567194,0.000694125,0.000501739,0.000421124,0.000528062
OTU_604,Chordata,1.77E-06,0,3.87E-06,0.005153324,4.45E-05,2.36E-05,7.93E-06,8.43E-06,0.00429609
OTU_711,Annelida,0,0,0,0,0,0,0,0.017750492,1.49E-05
OTU_899879,Porifera,0.004032119,0.000177547,0.000165076,2.75E-05,0.001303796,0.000336015,0.001711607,0.000447768,0.000333065
OTU_378,Nematoda,0.0037372,0.001595036,1.55E-05,0.002302429,0.000155312,1.87E-05,0.000856406,0.000908665,0.000675746
OTU_622,Arthropoda,0.001168858,0.001411749,0.000255129,0.002525798,0.001603199,0.001033281,0.001387305,0.001027347,0.00115036
OTU_733,Arthropoda,0.001509779,0.00028423,0.000846563,0.000423094,0.002330856,0.002568981,0.000666112,0.000671632,0.002426659
OTU_42,Chordata,0,8.00E-06,0,6.85E-06,0,4.69E-06,0,0.017733763,4.84E-05
OTU_6193,Mollusca,0.000285763,0.001173773,0.00019908,1.06E-05,2.27E-06,0.00055517,0.000414587,2.86E-05,0.008288511
OTU_218,Nematoda,0.003824692,0.000120017,0,0.000766995,0.001396377,4.26E-05,0,0,0.001850712
OTU_13655,Cnidaria,0.003537525,0.00053528,0,0.00352978,0,3.15E-06,1.92E-05,0.000393177,0.000211836
OTU_682,Porifera,0.000521515,0.000533132,0.001172362,0.003011712,0.00121269,0.001489301,0.000497208,0.000769691,0.000281592
OTU_741471,Porifera,0.00101482,3.79E-05,0.000212221,0.00110002,0.000172492,0.002661603,0.000665789,0.000118055,0.000107868
OTU_75,Miozoa,0.000406909,0.000166715,0.005632352,0.002426682,0.000896151,0.000719673,0.000166554,0.00030538,0.000118915
OTU_500,Rhodophyta,0.003335756,0.001016917,0.0022593,0.000418146,0.000507165,0.000344179,0.000896556,0.001374835,0.000188683
OTU_610,Annelida,0.002913363,0.000189051,0.000452182,0.003158102,0.001204525,0.001952696,0.00023371,0.000539914,0.000500341
OTU_127,Nemertea,0.000462795,0.004075342,0.001146671,0.000302741,0.000466516,0.000771725,0.000215906,0.000311442,0.002131313
OTU_907594,Mollusca,9.99E-05,0.000150774,0.000122659,0.000168681,0.000165004,0.000126925,0.010415449,0.002158814,0.00083052
OTU_439,Arthropoda,1.58E-05,0.001117056,0.00425601,0.000701804,0.002391194,0.001262159,0.001970772,0.000146509,1.01E-05
OTU_126,Porifera,0.001236111,0.000597324,0.001365392,4.22E-05,0.000581548,0.001692335,0.00086921,0.000801026,0.001107968
OTU_651,Arthropoda,0.000730421,0.000547344,0.000197145,0.001240477,0.001185392,0.002189122,0.001400753,0.001822002,0.000576276
OTU_501,Rhodophyta,1.17E-05,0.00087682,6.50E-05,0.000225105,0.000551004,0.001939913,0.000185614,0.00794062,3.66E-05
OTU_1243,Chordata,5.30E-06,0,3.87E-06,0.001937194,0.001620247,0.002711541,0,0,0
OTU_497,Rhodophyta,0.000655295,0.000260016,3.05E-05,0.000896277,0.002704268,0.000425375,0.00028881,1.26E-05,0.000175018
OTU_260,Porifera,0.001898632,0.001387568,1.16E-05,0.000723126,0.005256531,0.001186,2.50E-05,0.000477422,0.000552681
OTU_38,Ochrophyta,0.002379414,0.000263248,0.002360103,0.000442728,0.000500014,0.000450239,0.000393355,0.000692002,0.000652724
OTU_858325,Annelida,1.77E-06,4.00E-06,8.87E-06,0,0,0.003795826,3.97E-06,0,5.07E-06
OTU_203,Arthropoda,0.000863457,0.001047717,0.000309247,0.004266726,0.001263109,0.000445312,0,2.71E-06,0.001350274
OTU_71,Arthropoda,0.001367115,0.000494473,0.000437712,0.000680763,0.000738527,0.001245446,0.001872519,0.001379054,0.001115736
OTU_319,Arthropoda,0.001279727,0.000659373,0.000804042,0.001515115,0.0012718,0.000954218,0.001073308,0.000916274,0.000741977
OTU_1218,Annelida,0.005808291,0,0,2.36E-06,2.61E-05,0,0,0,0
OTU_123,Arthropoda,0.001879114,0.001090173,0.00020865,0.000323681,0.000425865,0.000765882,0.001759911,0.001245265,0.000467376
OTU_792,Cnidaria,0.000233364,0.000227538,0.001156658,0.003650574,0.001079846,0.000604014,3.97E-06,7.67E-05,0
OTU_451,Annelida,0.000419316,0.000298693,0.001377402,0.000382382,0.000355709,0.00190508,0.001831111,0.00082051,0.003665962
